region,danceability,energy,valence,tempo,acousticness,loudness,speechiness,instrumentalness
Brazil,0.6620235231189825,0.6589656484012837,0.5345868061333651,125.28122310709615,0.22182039415190777,-6.259093664566741,0.08865552121716391,0.0345086594484726
Global,0.6963341587064411,0.6494205880783392,0.5299565451731683,122.42982984684348,0.24514419168578896,-6.049981215646513,0.09987411014461818,0.01291183815144885
India,0.6465991932021062,0.6091622432145359,0.5006238287870912,118.32158907545933,0.3584654513955118,-6.66515679450383,0.07785197631584895,0.00855799860403625
Japan,0.5880342263572843,0.7463240918432164,0.5291435190374771,123.64299144341068,0.16202488346597915,-4.477858947053768,0.058065422411538316,0.0038655439266898333
United Kingdom,0.6707327771156139,0.6618646415801124,0.5327430444406607,120.9646684147795,0.22488373737783074,-6.307909313808957,0.09278107951643112,0.024366609020602756
United States,0.6673859215237532,0.6365017843564283,0.5029717766047765,121.21757376988668,0.2527858337307593,-6.539617031486472,0.08600766306153336,0.02672306386106087
