track_id,track_name,artist_spotify,macro_genre,danceability,energy,valence,popularity,year
6hYvw3LLTViP2mT4MpDNmT,Grow As We Go,Ben Platt,Other,0.458,0.137,0.437,65,2020
6hf0RpxTbOprT5nnwzkk8e,Qué Más Pues?,J Balvin;Maria Becerra,Latin,0.891,0.819,0.768,76,2021
6iWEhoALoBFnQMNVhYY0Sc,You're Somebody Else,flora cash,Acoustic/Folk,0.706,0.46,0.226,68,2020
6ilTR3RpLCAHDt3Z6YuQGx,シンデレラ,Cidergirl,Rock/Alternative,0.572,0.955,0.717,62,2021
6juLaduD4STCUDWT0AYun4,MORE,K/DA;Madison Beer;(G)I-DLE;Lexie Liu;Jaira Burns;Seraphine;League of Legends,Pop,0.66,0.787,0.199,72,2020
6k90ibcH1z8Mx9684nfuLW,お勉強しといてよ,ZUTOMAYO,Pop,0.699,0.875,0.863,54,2020
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,Electronic/Dance,0.421,0.407,0.161,81,2020
6lfSsCL894Qw15xbt7cSUy,"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani;Benny Dayal,Hip-Hop/Rap,0.825,0.904,0.528,59,2020
6ljbkNIzfmFrGyYUTUAleN,Remember the Name (feat. Styles of Beyond),Fort Minor;Styles Of Beyond,Rock/Alternative,0.688,0.835,0.88,67,2020
6mib8jl6fASfaAahkDoCr8,Agile,Pontus De Bjorn,Other,0.355,0.0117,0.161,49,2020
6nL0wIy3rcQPqHNAtm61Gh,Sunshine (The Light),Fat Joe;DJ Khaled;Amorphous,Other,0.8,0.832,0.736,64,2021
6nZiYSBwPQ7fYnVWkkkj4g,Kho Gaye Hum Kahan,Jasleen Royal;Prateek Kuhad,Other,0.778,0.227,0.38,70,2020
6nqfKM9JvQIiuAuzWZFvGW,ぎゅっと。,もさを。,Pop,0.773,0.363,0.774,61,2020
6oDHAjaJJjwwgoAuMIeY9K,"Ek Toh Kum Zindagani (From ""Marjaavaan"")",Neha Kakkar;Yash Narvekar;Tanishk Bagchi,Pop,0.668,0.965,0.722,60,2020
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo;Whitney Houston,Electronic/Dance,0.693,0.678,0.404,76,2020
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,Electronic/Dance,0.778,0.317,0.327,84,2020
6oloWgrErtc8dG2WiV55gn,Sawan Mein Lag Gayi Aag,Mika Singh;Payal Dev;Neha Kakkar;Badshah,Hip-Hop/Rap,0.792,0.813,0.868,61,2020
6pdip6qgVJOI5JxqgbAlu6,JA ARA E,Burna Boy,Electronic/Dance,0.79,0.693,0.855,56,2020
6q9XTgfWilsnyiFofvYrIF,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah;Neha Kakkar;Varun Dhawan,Hip-Hop/Rap,0.788,0.87,0.884,67,2020
6qZyM6JV8ohLC4S2EL5sFh,Barbaadiyan,Sachet Tandon;Nikhita Gandhi;Madhubanti Bagchi;Sachin-Jigar,Pop,0.758,0.57,0.567,71,2021
6rWfligUryssDGdxaNWpmY,Kadhalikkiren,Dhinesh Nagarajan,Pop,0.63,0.578,0.389,40,2020
6rfahvufEQDIVTHJIU2QQB,"For Aisha (Featured in ""The Sky Is Pink"")",MEMBA;EVAN GIIA;Nooran Sisters,Electronic/Dance,0.568,0.622,0.109,59,2020
6riWD7fUly0edv1gUZaguM,The Wrong Place,Hooverphonic,Other,0.551,0.693,0.193,42,2021
6sUsZUvJ1RxXK80EG3DQM2,HACK,Shuta Sueyoshi,Electronic/Dance,0.686,0.861,0.978,48,2020
6smPjrA4Hf7J3kFe9afb1E,Tere Jaane Se,Anurag Vashisht,Other,0.59,0.459,0.293,56,2020
6tkl6rjuXWtVOCaXSSSCz2,"Jab Tak (From ""M.S.Dhoni - The Untold Story"")",Armaan Malik,Pop,0.299,0.447,0.321,66,2020
6uDBSDI9pDM7C4Gm0hc2hI,Castaways,The Backyardigans,Other,0.756,0.211,0.307,56,2021
6v0UJD4a2FtleHeSYVX02A,I Drink Wine,Adele,Other,0.437,0.565,0.306,75,2021
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes;Camila Cabello,Electronic/Dance,0.759,0.548,0.749,80,2020
6vFsBXYczYsP0H3lgunZOm,Cloud 9,Beach Bunny,Pop,0.637,0.929,0.902,79,2021
6vo7Y1iWyZvpjvFbf6BiZ5,Kalank (Title Track),Pritam;Arijit Singh,Other,0.57,0.55,0.435,73,2020
