macro_genre,count,month
Country,13,2021-09
Electronic/Dance,991,2021-09
Hip-Hop/Rap,954,2021-09
Jazz/Blues,60,2021-09
Latin,688,2021-09
Other,1006,2021-09
Pop,3695,2021-09
R&B/Soul,138,2021-09
Rock/Alternative,1389,2021-09
Acoustic/Folk,243,2021-10
Country,3,2021-10
Electronic/Dance,1161,2021-10
Hip-Hop/Rap,923,2021-10
Jazz/Blues,17,2021-10
Latin,772,2021-10
Other,1289,2021-10
Pop,3885,2021-10
R&B/Soul,341,2021-10
Rock/Alternative,1655,2021-10
Acoustic/Folk,115,2021-11
Country,3,2021-11
Electronic/Dance,1063,2021-11
Hip-Hop/Rap,863,2021-11
Jazz/Blues,6,2021-11
Latin,304,2021-11
Other,1363,2021-11
Pop,3598,2021-11
R&B/Soul,468,2021-11
Rock/Alternative,1347,2021-11
Acoustic/Folk,152,2021-12
Electronic/Dance,430,2021-12
Hip-Hop/Rap,315,2021-12
Jazz/Blues,42,2021-12
Latin,141,2021-12
Other,813,2021-12
Pop,1508,2021-12
R&B/Soul,304,2021-12
Rock/Alternative,1059,2021-12
