region,danceability,energy,valence,tempo,acousticness
Brazil,0.6620235231189825,0.6589656484012837,0.5345868061333651,125.28122310709615,0.22182039415190777
Global,0.6963341587064411,0.6494205880783392,0.5299565451731683,122.42982984684348,0.24514419168578896
India,0.6465991932021062,0.6091622432145359,0.5006238287870912,118.32158907545933,0.3584654513955118
Japan,0.5880342263572843,0.7463240918432164,0.5291435190374771,123.64299144341068,0.16202488346597915
United Kingdom,0.6707327771156139,0.6618646415801124,0.5327430444406607,120.9646684147795,0.22488373737783074
United States,0.6673859215237532,0.6365017843564283,0.5029717766047765,121.21757376988668,0.2527858337307593
